portfolio_turnover,code,swp_flag,lump_min,stp_flag,face_value,sip_available,sip_maximum_gap,returns_date,returns_inception,returns_year_5,returns_year_1,returns_year_3,sip_multiplier,ISIN,investment_objective,volatility,name,fund_house,last_nav_date,last_nav_nav,fund_manager,fund_category,lump_multiplier,redemption_allowed,direct,fund_type,redemption_amount_minimum,category,sip_min,detail_info,redemption_quantity_multiple,nav_date,nav_nav,switch_allowed,lump_min_additional,fund_name,sip_max,expense_ratio,crisil_rating,purchase_amount_multiplier,instant,redemption_quantity_minimum,lump_available,lump_max,redemption_amount_multiple,plan,short_name,short_code,reinvestment,slug,channel_partner_code,tax_period,maturity_type,aum,jan_31_nav,merged_code,merged_name,merged_date
,IDDGSM-DR,Y,5000.0,N,10.0,N,60.0,2017-11-07,0.0,0.0,0.0,0.0,1.0,INF194K01P46,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,5.29847,IDFC Government Securities Constant Maturity Monthly Dividend Reinvest Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,10.5612,Harshal Joshi,Gilt Fund with 10 year constant duration,1.0,N,Y,Debt,1.0,Debt - Bonds,1000.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,10.4907,N,1000.0,IDFC Mutual Fund,199999.0,0.34,Moderate,,N,0.001,N,10000000000000.0,1.0,DIVIDEND MONTHLY,IDFC Govt Securities Constant Maturity Monthly Dividend Reinvest,idfc,Y,idfc-government-securities-constant-maturity-monthly-dividend-reinvest--IDDGSM-DR,GDGSMR,1095,Open Ended,1080,,,,
,IDDGSM-DP,Y,5000.0,Y,10.0,Y,60.0,2017-11-07,0.0,0.0,0.0,0.0,1.0,INF194K01P53,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,5.29847,IDFC Government Securities Constant Maturity Monthly Dividend Payout Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,10.5612,Harshal Joshi,Gilt Fund with 10 year constant duration,0.01,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,10.4907,Y,1000.0,IDFC Mutual Fund,199999.0,0.34,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,IDFC Govt Securities Constant Maturity Monthly Dividend Payout,idfc,N,idfc-government-securities-constant-maturity-monthly-dividend-payout--IDDGSM-DP,GDGSM,1095,Open Ended,1080,,,,
,IDDGSMP-DR,Y,5000.0,Y,10.0,Y,60.0,2017-11-07,0.0,0.0,0.0,0.0,1.0,INF194K01P53,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,5.29847,IDFC Government Securities Constant Maturity Monthly Dividend Reinvest Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,10.5612,Harshal Joshi,Gilt Fund with 10 year constant duration,0.01,Y,Y,Debt,500.0,Debt - Bonds,100.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,10.4907,Y,1000.0,IDFC Mutual Fund,999999999.0,0.34,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND MONTHLY,IDFC Govt Securities Constant Maturity Monthly Dividend Reinvest,idfc,Y,idfc-government-securities-constant-maturity-monthly-dividend-reinvest--IDDGSMP-DR,GDGSM,1095,Open Ended,1080,,,,
,IDDGSQ-DR,Y,5000.0,N,10.0,N,60.0,2020-03-12,0.0,7.4433,11.2459,8.333,1.0,INF194K01P79,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,6.1496,IDFC Government Securities Constant Maturity Quarterly Dividend Reinvest Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,12.1019,Harshal Joshi,Gilt Fund with 10 year constant duration,0.01,N,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,12.021,N,1000.0,IDFC Mutual Fund,199999.0,0.4,Moderate,,N,0.001,N,10000000000000.0,0.01,DIVIDEND QUARTERLY,IDFC Govt Securities Constant Maturity Quarterly Dividend Reinvest,idfc,Y,idfc-government-securities-constant-maturity-quarterly-dividend-reinvest--IDDGSQ-DR,GDGSQR,1095,Open Ended,1590,10.93,,,
,IDDGSQ-DP,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,0.0,7.4433,11.2459,8.333,1.0,INF194K01P87,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,6.1496,IDFC Government Securities Constant Maturity Quarterly Dividend Payout Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,12.1019,Harshal Joshi,Gilt Fund with 10 year constant duration,1.0,Y,Y,Debt,1.0,Debt - Bonds,1000.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,12.021,Y,1000.0,IDFC Mutual Fund,199999.0,0.4,Moderate,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND QUARTERLY,IDFC Govt Securities Constant Maturity Quarterly Dividend Payout,idfc,N,idfc-government-securities-constant-maturity-quarterly-dividend-payout--IDDGSQ-DP,GDGSQ,1095,Open Ended,1590,10.93,,,
,IDDGSQP-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,0.0,7.4433,11.2459,8.333,1.0,INF194K01P87,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,6.1496,IDFC Government Securities Constant Maturity Quarterly Dividend Reinvest Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,12.1019,Harshal Joshi,Gilt Fund with 10 year constant duration,1.0,Y,Y,Debt,1.0,Debt - Bonds,100.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,12.021,Y,1000.0,IDFC Mutual Fund,999999999.0,0.4,Moderate,,N,0.001,Y,10000000000000.0,1.0,DIVIDEND QUARTERLY,IDFC Govt Securities Constant Maturity Quarterly Dividend Reinvest,idfc,Y,idfc-government-securities-constant-maturity-quarterly-dividend-reinvest--IDDGSQP-DR,GDGSQ,1095,Open Ended,1590,10.93,,,
,IDDGSW-DR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,9.0741,0.0,1.1708,6.2256,1.0,INF194K01Q03,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities such that weighted average portfolio maturity of around 10 years.,3.22917,IDFC Government Securities Constant Maturity Weekly Dividend Reinvest Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,17.8636,Harshal Joshi,Gilt Fund with 10 year constant duration,0.01,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,17.7443,Y,1000.0,IDFC Mutual Fund,199999.0,0.4,Moderate,,N,0.001,Y,10000000000000.0,0.01,DIVIDEND WEEKLY,IDFC Govt Securities Constant Maturity Weekly Dividend Reinvest,idfc,Y,idfc-government-securities-constant-maturity-weekly-dividend-reinvest--IDDGSW-DR,GDGSW,1095,Open Ended,1590,15.7147,,,
,D86-GR,Y,5000.0,Y,10.0,Y,60.0,2020-03-12,10.2752,9.4793,16.9985,9.8373,1.0,INF194K01Q29,To generate optimal returns with high liquidity by investing in Government securities,4.68713,IDFC Government Securities Investment Growth Direct Plan,IDFCMUTUALFUND_MF,2020-03-11,26.739,Suyash Choudhary,Gilt Fund,0.01,Y,Y,Debt,500.0,Debt - Bonds,1000.0,https://www.idfcmf.com/download-centre.aspx?tab=sid,0.001,2020-03-12,26.5729,Y,1000.0,IDFC Mutual Fund,199999.0,0.42,Moderate,,N,0.001,Y,10000000000000.0,0.01,GROWTH,IDFC Govt Securities Investment,idfc,Z,idfc-government-securities-investment-growth--D86-GR,GD86,1095,Open Ended,4790,20.6711,,,
,IDDGHB-DR,Y,5000.0,N,,N,60.0,,,,,,1.0,INF194K01Q37,,0.0,IDFC Government Securities Investment Half Yearly Dividend Reinvest Direct Plan,IDFCMUTUALFUND_MF,,,,,1.0,N,Y,,1.0,Debt - Bonds,1000.0,,0.001,,,N,1000.0,IDFC Mutual Fund,199999.0,,,,N,0.001,N,10000000000000.0,1.0,,IDFC Govt Securities Investment Half Yearly Dividend Reinvest,idfc,Y,idfc-government-securities-investment-half-yearly-dividend-reinvest--IDDGHB-DR,GDGHBR,,,,,,,
,IDDGHB-DP,Y,5000.0,Y,,Y,60.0,,,,,,1.0,INF194K01Q45,,0.0,IDFC Government Securities Investment Half Yearly Dividend Payout Direct Plan,IDFCMUTUALFUND_MF,,,,,0.01,N,Y,,500.0,Debt - Bonds,1000.0,,0.001,,,Y,1000.0,IDFC Mutual Fund,199999.0,,,,N,0.001,Y,10000000000000.0,0.01,,IDFC Govt Securities Investment Half Yearly Dividend Payout,idfc,N,idfc-government-securities-investment-half-yearly-dividend-payout--IDDGHB-DP,GDGHB,,,,,,,
